metric,value
operations_total,4190.0
auto_classified_count,3945.0
needs_review_count,245.0
needs_review_share,0.05847255369928401
unknown_count,1.0
unknown_share_by_count,0.00023866348448687351
unknown_share_by_amount,6.733349964261048e-05
llm_classified_count,0.0
rule_llm_disagreements,0.0
